episode,reward,steps,portfolio_value,agent_return,total_timesteps
1,239.7502231459466,104618,2.3420600054852203e-11,0,104618
2,359.7513607285555,104618,4.924514564586753e-11,0,209236
3,524.8668906503998,104618,4.0744270416892905e-08,0,313854
4,617.0229408285302,104618,0.0006154671890761358,0,418472
5,563.0523624079156,104618,196.72546825356702,0,523090
6,392.4161536472164,104618,11695.934195847793,0,627708
7,368.93734109561393,104618,12563.750557255436,0,732326
8,382.01585928342803,104618,12473.308234491667,0,836944
9,387.025997628589,104618,11901.073498724643,0,941562
10,207.02189587955647,58438,12103.053353461199,0,1000000
